rank,full_name,html_url,clone_url,default_branch,stars,forks,open_issues,pushed_at,license,category,description
"90","swagger-api/swagger-parser","https://github.com/swagger-api/swagger-parser","https://github.com/swagger-api/swagger-parser.git","","859","","","2026-06-02T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"91","making/yavi","https://github.com/making/yavi","https://github.com/making/yavi.git","","846","","","2026-01-26T00:00:00Z","Apache-2.0","Validation","Validation"
"92","ical4j/ical4j","https://github.com/ical4j/ical4j","https://github.com/ical4j/ical4j.git","","836","","","2026-06-06T00:00:00Z","BSD-3-Clause","Parser/Format","Parser/Format"
"93","ralfstx/minimal-json","https://github.com/ralfstx/minimal-json","https://github.com/ralfstx/minimal-json.git","","743","","","2023-11-15T00:00:00Z","MIT","Serialization","Serialization"
"94","schibsted/jslt","https://github.com/schibsted/jslt","https://github.com/schibsted/jslt.git","","695","","","2025-06-29T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"95","forge/roaster","https://github.com/forge/roaster","https://github.com/forge/roaster.git","","688","","","2026-06-08T00:00:00Z","NOASSERTION","Codegen/Build","Codegen/Build"
"96","osiegmar/FastCSV","https://github.com/osiegmar/FastCSV","https://github.com/osiegmar/FastCSV.git","","679","","","2026-06-08T00:00:00Z","MIT","Parser/Format","Parser/Format"
"97","EsotericSoftware/yamlbeans","https://github.com/EsotericSoftware/yamlbeans","https://github.com/EsotericSoftware/yamlbeans.git","","567","","","2025-06-05T00:00:00Z","MIT","Serialization","Serialization"
"98","palantir/conjure","https://github.com/palantir/conjure","https://github.com/palantir/conjure.git","","478","","","2026-06-10T00:00:00Z","Apache-2.0","HTTP/Client","HTTP/Client"
"99","apache/commons-csv","https://github.com/apache/commons-csv","https://github.com/apache/commons-csv.git","","409","","","2026-06-07T00:00:00Z","Apache-2.0","Parser/Format","Parser/Format"
"100","apache/commons-validator","https://github.com/apache/commons-validator","https://github.com/apache/commons-validator.git","","226","","","2026-06-07T00:00:00Z","Apache-2.0","Validation","Validation"
